id,from_account_id,amount,balance_after,balance_before,created_at,description,idempotency_key,to_account_id,status,transaction_type
7c0ce52b-ec89-4e76-8f80-b173085076c1,2284,3720.67,16279.33,20000.0,2026-02-12 21:36:06.523597,P2P transfer,52578656-ea73-4203-9ea5-886f3bbebffa,2283,SUCCESS,DEBITED
c8f3bba0-db7f-4853-a33e-225f6d317502,2285,3399.66,16600.34,20000.0,2026-02-12 10:08:19.768454,P2P transfer,45aa8100-920e-4c84-9087-7aeedb5dc72b,2284,PENDING,DEBITED
49c6dc1b-9824-40ea-b0dc-2a9c4b4567ed,2284,177.76,16101.57,16279.33,2026-02-10 23:17:43.059326,P2P transfer,156a64d9-7301-4d0a-8ede-345722a2842f,3003,SUCCESS,DEBITED
2f62b9ca-e1a6-4250-ace6-444bce73c322,2282,3029.99,16970.01,20000.0,2026-02-10 22:39:47.128723,P2P transfer,4da3ce03-999a-448d-b995-96e43b12eb69,3005,SUCCESS,DEBITED
377fdfb0-810c-4557-b168-356ad3fa23e4,3005,1141.18,18858.82,20000.0,2026-02-10 16:55:44.106191,P2P transfer,7a981b1b-391a-4d82-b202-958ae469f3d9,3003,SUCCESS,DEBITED
8042453a-a434-40f2-bb08-48ffb9a71100,2283,3505.79,16494.21,20000.0,2026-02-10 01:54:06.274209,P2P transfer,5f03e4df-80f0-4cd1-b01c-99c887e7bf0c,2285,SUCCESS,DEBITED
df0e9841-800b-4634-8f2b-07887b19ae09,2285,4788.2,15211.8,20000.0,2026-02-10 01:52:44.382137,P2P transfer,7587097f-6014-4904-bbfc-21310b398762,2282,SUCCESS,DEBITED
2556ba9c-450b-4a4f-bcc5-a1138ef1c3f1,2284,434.49,15667.08,16101.57,2026-02-10 01:37:38.233330,P2P transfer,4bb8fa16-88a1-4606-96ff-04c87c05f797,3003,PENDING,DEBITED
42c19733-6e58-4598-be5e-29178892502b,3001,3662.17,16337.83,20000.0,2026-02-09 00:57:12.456558,P2P transfer,1a393002-a9b7-4fea-924a-6281c700b4d0,2283,SUCCESS,DEBITED
9cca602c-c86b-4298-a005-b9ba459b70b1,3003,2782.6,17217.4,20000.0,2026-02-09 18:01:32.789678,P2P transfer,1fa07b5c-a689-462d-84a0-b36f8db155ef,2284,PENDING,DEBITED
1b8fa3b4-519b-43b8-8bae-4efb8480f73b,3002,3537.63,16462.37,20000.0,2026-02-09 03:34:12.159188,P2P transfer,9aeced86-d104-42d3-957a-b3db2ea8b4df,2282,SUCCESS,DEBITED
34f66d43-acc4-44f0-9a1a-c5c210354ee5,2282,4180.54,12789.47,16970.01,2026-02-09 08:26:44.888985,P2P transfer,f6efa8a7-1853-4923-babf-c80dd73d403c,3001,PENDING,DEBITED
941e1034-cc6f-4e13-bbe0-baf10f48e7a4,2284,1155.05,14946.52,16101.57,2026-02-07 22:52:51.095239,P2P transfer,fcb49536-9a7c-4ed6-bbdb-e74639e3a675,3003,SUCCESS,DEBITED
b459796b-54eb-4dab-8df9-dbe9526f7f2a,3002,1555.0,14907.37,16462.37,2026-02-07 21:20:34.232745,P2P transfer,f546e915-7ac7-4b95-a7d2-746500e6bf36,2285,SUCCESS,DEBITED
5df4eabd-5a01-4df9-b5d5-a77428907329,3001,2507.51,13830.32,16337.83,2026-02-07 16:09:42.270035,P2P transfer,d42ca1fe-3507-4725-849e-c9650ea83e83,2284,SUCCESS,DEBITED
b5c7cd48-8496-41e8-afe1-624bd977e803,2282,1988.03,14981.98,16970.01,2026-02-07 05:02:10.186378,P2P transfer,b1c833da-cc39-4681-92c4-27bc60f14fff,2285,SUCCESS,DEBITED
269374b8-f77e-4c12-b50b-c1732351ccd3,3005,3243.52,15615.3,18858.82,2026-02-06 19:49:02.676874,P2P transfer,efd76ecd-3804-4c61-8754-5c6c6cce626e,2282,PENDING,DEBITED
